Student_ID,Class,Region,Maths_Score,Science_Score,English_Score,Overall_Percentage,App_Login_Count,Video_Completion_Rate,Attendance_Percentage,Homework_Completion (%),Test_Attempts_Per_Month,Parent_Involvement,Extra_Support_Classes,Fee_Status,Payment_Type,Installment_Regularity,Risk_Level
1068,7,Semi-Urban,73,70,77,73.33333333333333,21,51,76.0,56.0,5,No,No,Paid,Full,On Time,Low
1069,9,Semi-Urban,95,99,92,95.33333333333331,10,60,90.0,89.0,7,No,No,Paid,Full,On Time,Low
1070,9,Semi-Urban,71,70,71,70.66666666666667,26,87,69.0,69.0,7,Yes,No,Paid,Full,On Time,Low
1071,6,Rural,40,36,35,37.0,8,49,43.0,26.0,1,Yes,No,Overdue,Full,On Time,High
1072,10,Urban,20,24,22,22.0,8,44,35.0,28.0,1,Yes,Yes,Overdue,Installment,On Time,High
1073,10,Urban,58,59,57,58.0,16,69,60.0,55.0,7,Yes,No,Paid,Installment,On Time,Medium
1074,7,Semi-Urban,84,80,79,81.0,17,70,98.0,86.0,6,Yes,Yes,Paid,Full,On Time,Low
1075,10,Urban,81,84,79,81.33333333333333,32,64,65.0,70.0,7,Yes,No,Pending,Full,On Time,Low
1076,7,Rural,86,84,82,84.0,13,66,87.0,95.0,7,Yes,Yes,Paid,Full,On Time,Low
1077,6,Urban,77,73,76,75.33333333333333,19,67,81.0,51.0,6,No,Yes,Paid,Full,On Time,Low
1078,9,Semi-Urban,81,81,82,81.33333333333333,27,71,98.0,92.0,4,Yes,No,Paid,Full,On Time,Low
1079,9,Rural,31,33,34,32.666666666666664,6,46,51.0,39.0,2,Yes,Yes,Overdue,Installment,Delayed,High
1080,9,Rural,29,26,27,27.33333333333333,5,14,38.0,32.0,1,Yes,No,Overdue,Full,On Time,High
1081,10,Semi-Urban,73,68,71,70.66666666666667,14,95,82.0,83.0,3,No,No,Paid,Installment,On Time,Low
1082,6,Urban,70,66,73,69.66666666666667,32,77,96.0,70.0,6,Yes,Yes,Paid,Installment,On Time,Low
1083,10,Semi-Urban,20,17,20,19.0,9,24,32.0,27.0,2,Yes,No,Overdue,Installment,Delayed,High
1084,10,Urban,58,53,59,56.66666666666666,9,43,55.0,39.0,1,Yes,Yes,Overdue,Full,On Time,High
1085,6,Urban,50,52,53,51.66666666666666,4,13,53.0,57.0,1,Yes,Yes,Overdue,Installment,Delayed,High
1086,6,Rural,91,90,90,90.33333333333331,11,78,99.0,98.0,6,Yes,Yes,Paid,Full,On Time,Low
1088,6,Rural,79,74,80,77.66666666666667,30,86,90.0,81.0,5,No,No,Pending,Full,Delayed,Low
1089,9,Semi-Urban,77,75,74,75.33333333333333,33,61,76.0,63.0,3,No,Yes,Paid,Installment,On Time,Low
1090,8,Semi-Urban,81,78,82,80.33333333333333,30,83,61.0,73.0,6,No,No,Paid,Full,On Time,Low
1091,8,Rural,65,60,60,61.66666666666666,17,56,69.0,50.0,4,Yes,No,Paid,Installment,On Time,Low
1092,6,Semi-Urban,22,21,17,20.0,8,49,34.0,40.0,2,Yes,Yes,Overdue,Installment,On Time,High
1093,8,Semi-Urban,53,56,50,53.0,6,40,38.0,55.0,2,Yes,No,Overdue,Installment,On Time,High
1094,8,Urban,59,60,55,58.0,11,71,80.0,62.0,5,No,No,Paid,Installment,On Time,Medium
1095,6,Semi-Urban,54,52,55,53.66666666666666,6,49,62.0,22.0,2,Yes,Yes,Overdue,Full,On Time,High
1096,8,Semi-Urban,77,80,79,78.66666666666667,16,64,78.0,87.0,3,Yes,No,Paid,Full,Delayed,Low
1097,10,Rural,74,70,77,73.66666666666667,32,99,81.0,59.0,6,No,No,Pending,Full,On Time,Low
1098,7,Rural,95,98,98,97.0,27,91,96.0,91.0,4,No,No,Paid,Installment,On Time,Low
1099,7,Semi-Urban,75,75,75,75.0,29,95,66.0,74.0,4,No,No,Paid,Installment,On Time,Low
1100,6,Urban,95,94,99,96.0,14,70,76.0,89.0,6,Yes,No,Paid,Installment,On Time,Low
1101,9,Urban,84,85,85,84.66666666666667,14,69,88.0,67.0,6,Yes,No,Paid,Full,On Time,Low
1102,6,Rural,93,93,89,91.66666666666669,30,71,70.0,92.0,4,No,No,Paid,Installment,On Time,Low
1103,9,Semi-Urban,79,83,77,79.66666666666667,13,65,87.0,87.0,7,Yes,Yes,Paid,Installment,Delayed,Low
1104,7,Semi-Urban,55,55,56,55.333333333333336,5,28,49.0,40.0,2,Yes,No,Overdue,Installment,On Time,High
1105,6,Urban,60,60,62,60.66666666666666,23,85,64.0,55.0,7,Yes,No,Paid,Installment,On Time,Low
1106,10,Urban,72,74,72,72.66666666666667,11,55,83.0,83.0,6,Yes,Yes,Paid,Full,On Time,Low
1107,8,Urban,95,98,96,96.33333333333331,13,94,81.0,98.0,5,Yes,Yes,Paid,Full,On Time,Low
1108,9,Rural,75,77,70,74.0,32,84,72.0,75.0,6,Yes,No,Paid,Full,Delayed,Low
1109,8,Semi-Urban,76,80,76,77.33333333333333,32,53,68.0,83.0,7,Yes,No,Paid,Installment,On Time,Low
1110,8,Rural,59,61,63,61.0,11,86,67.0,55.0,7,Yes,Yes,Pending,Installment,On Time,Low
1111,6,Semi-Urban,76,71,75,74.0,13,54,98.0,70.0,3,Yes,No,Paid,Full,Delayed,Low
1112,8,Rural,82,79,86,82.33333333333333,22,50,78.0,86.0,3,Yes,Yes,Pending,Full,Delayed,Low
1113,10,Semi-Urban,71,66,67,68.0,19,95,63.0,59.0,3,Yes,No,Pending,Full,On Time,Low
1114,8,Urban,77,75,79,77.0,28,66,82.0,79.0,5,No,Yes,Paid,Installment,Delayed,Low
1115,6,Urban,55,53,56,54.66666666666666,31,87,74.0,56.0,3,Yes,No,Paid,Full,On Time,Medium
1116,10,Urban,36,36,31,34.333333333333336,4,48,34.0,53.0,1,No,No,Overdue,Full,On Time,High
1118,8,Urban,54,49,55,52.66666666666666,14,53,71.0,70.0,4,Yes,No,Paid,Full,On Time,Medium
1119,6,Semi-Urban,29,27,25,27.0,5,18,49.0,35.0,1,Yes,No,Overdue,Installment,On Time,High
1120,7,Rural,76,74,79,76.33333333333333,26,79,88.0,69.0,4,Yes,Yes,Paid,Installment,On Time,Low
1121,7,Semi-Urban,85,80,86,83.66666666666667,32,85,81.0,71.0,3,Yes,No,Paid,Full,On Time,Low
1122,9,Rural,24,23,23,23.33333333333333,3,17,50.0,24.0,1,Yes,Yes,Overdue,Installment,On Time,High
1123,10,Semi-Urban,85,80,88,84.33333333333333,27,78,99.0,64.0,4,No,No,Paid,Full,On Time,Low
1124,8,Semi-Urban,76,72,72,73.33333333333333,24,94,90.0,52.0,6,No,No,Paid,Installment,Delayed,Low
1125,6,Rural,40,36,39,38.333333333333336,8,47,62.0,43.0,1,Yes,No,Overdue,Full,On Time,High
1126,9,Rural,52,50,50,50.66666666666666,1,28,56.0,70.0,2,No,No,Overdue,Full,On Time,High
1127,10,Urban,82,86,83,83.66666666666667,34,72,92.0,98.0,3,No,Yes,Paid,Installment,On Time,Low
1128,9,Urban,56,55,52,54.333333333333336,20,69,80.0,61.0,7,Yes,No,Paid,Full,On Time,Medium
1129,10,Semi-Urban,72,72,74,72.66666666666667,31,73,77.0,82.0,5,Yes,Yes,Pending,Full,On Time,Low
1130,10,Semi-Urban,61,58,62,60.333333333333336,16,81,76.0,66.0,6,Yes,No,Pending,Installment,Delayed,Low
1131,8,Semi-Urban,86,84,90,86.66666666666667,17,92,84.0,84.0,6,No,Yes,Paid,Installment,On Time,Low
1132,10,Rural,78,76,74,76.0,21,85,76.0,58.0,4,Yes,No,Paid,Full,Delayed,Low
1133,9,Rural,75,75,78,76.0,30,80,81.0,98.0,6,No,No,Paid,Installment,On Time,Low
1134,10,Urban,47,49,47,47.66666666666666,1,12,59.0,53.0,2,No,No,Overdue,Installment,Delayed,High
1135,8,Semi-Urban,36,38,40,38.0,5,39,46.0,34.0,2,Yes,Yes,Overdue,Installment,On Time,High
1136,8,Urban,26,30,27,27.666666666666668,6,37,37.0,40.0,1,Yes,No,Overdue,Installment,Delayed,High
1137,9,Rural,43,40,40,41.0,5,37,39.0,41.0,2,Yes,No,Overdue,Installment,On Time,High
1138,7,Rural,95,99,94,96.0,29,87,78.0,95.0,6,Yes,No,Paid,Full,On Time,Low
1139,7,Rural,61,59,60,60.0,18,58,72.0,70.0,7,No,Yes,Paid,Full,On Time,Low
1140,10,Urban,78,80,82,80.0,19,53,99.0,52.0,7,Yes,No,Pending,Full,On Time,Low
1141,6,Rural,93,91,88,90.66666666666669,17,58,76.0,95.0,3,Yes,No,Pending,Full,On Time,Low
1142,10,Semi-Urban,66,63,68,65.66666666666667,21,85,76.0,71.0,7,Yes,Yes,Paid,Installment,On Time,Low
1143,9,Urban,91,87,89,89.0,22,65,95.0,60.0,5,No,No,Paid,Full,Delayed,Low
1144,9,Rural,53,57,52,54.0,9,35,63.0,22.0,2,No,No,Overdue,Full,On Time,High
1145,9,Urban,77,77,73,75.66666666666667,26,50,90.0,75.0,3,No,Yes,Paid,Full,On Time,Low
1146,9,Urban,77,78,80,78.33333333333333,25,69,70.0,91.0,6,Yes,Yes,Paid,Full,On Time,Low
1147,9,Rural,85,83,89,85.66666666666667,11,78,97.0,56.0,3,No,No,Pending,Installment,On Time,Low
1148,8,Rural,80,76,83,79.66666666666667,22,74,99.0,53.0,5,Yes,Yes,Pending,Full,On Time,Low
1149,7,Urban,92,93,89,91.33333333333331,34,57,93.0,81.0,4,Yes,No,Paid,Installment,On Time,Low
1150,9,Urban,85,86,87,86.0,20,86,99.0,88.0,6,Yes,No,Pending,Full,On Time,Low
1151,6,Rural,69,71,64,68.0,15,94,69.0,65.0,3,Yes,Yes,Paid,Installment,On Time,Low
1152,6,Semi-Urban,88,92,88,89.33333333333333,33,96,93.0,70.0,3,Yes,No,Paid,Installment,On Time,Low
1153,6,Urban,93,93,97,94.33333333333331,27,95,73.0,85.0,7,Yes,No,Paid,Installment,Delayed,Low
1154,6,Urban,75,76,73,74.66666666666667,31,82,90.0,72.0,7,Yes,Yes,Pending,Installment,On Time,Low
1155,8,Semi-Urban,38,34,40,37.333333333333336,6,49,44.0,48.0,2,Yes,Yes,Overdue,Installment,On Time,High
1156,6,Rural,76,80,76,77.33333333333333,14,87,76.0,74.0,6,Yes,No,Pending,Installment,On Time,Low
1157,9,Rural,30,32,26,29.33333333333333,3,40,30.0,34.0,1,Yes,Yes,Overdue,Installment,On Time,High
1158,10,Semi-Urban,83,87,81,83.66666666666667,34,80,97.0,86.0,4,No,Yes,Paid,Installment,On Time,Low
1159,6,Rural,65,66,69,66.66666666666667,24,89,84.0,57.0,7,Yes,No,Paid,Installment,Delayed,Low
1160,8,Rural,72,74,69,71.66666666666667,33,81,63.0,83.0,5,Yes,No,Paid,Installment,Delayed,Low
1161,8,Urban,88,90,83,87.0,13,51,85.0,68.0,3,Yes,No,Paid,Installment,On Time,Low
1162,6,Urban,78,74,74,75.33333333333333,17,52,66.0,72.0,3,No,No,Pending,Full,On Time,Low
1163,10,Urban,74,76,69,73.0,31,84,76.0,83.0,6,Yes,No,Pending,Full,Delayed,Low
1164,6,Semi-Urban,44,41,46,43.66666666666666,9,31,43.0,47.0,1,Yes,No,Overdue,Installment,On Time,High
1165,8,Rural,80,80,75,78.33333333333333,24,86,73.0,73.0,4,Yes,No,Paid,Full,On Time,Low
1166,7,Rural,82,79,86,82.33333333333333,32,69,62.0,94.0,5,No,No,Paid,Installment,On Time,Low
1167,9,Urban,65,66,67,66.0,16,82,75.0,68.0,4,Yes,No,Paid,Full,On Time,Low
1168,8,Urban,93,94,92,93.0,12,52,77.0,85.0,5,Yes,Yes,Paid,Full,Delayed,Low
1169,6,Semi-Urban,63,61,60,61.333333333333336,32,64,82.0,58.0,4,Yes,No,Paid,Installment,Delayed,Low
1170,9,Rural,78,80,73,77.0,31,87,99.0,67.0,6,Yes,No,Paid,Installment,On Time,Low
1171,6,Semi-Urban,93,89,97,93.0,23,55,96.0,70.0,5,Yes,No,Paid,Installment,Delayed,Low
1172,6,Rural,88,87,91,88.66666666666667,29,68,89.0,63.0,3,No,Yes,Paid,Full,On Time,Low
1173,7,Semi-Urban,72,73,69,71.33333333333333,29,81,86.0,78.0,3,Yes,No,Paid,Full,Delayed,Low
1174,9,Urban,70,68,69,69.0,16,95,66.0,65.0,6,Yes,Yes,Paid,Full,On Time,Low
1175,9,Semi-Urban,84,84,82,83.33333333333333,27,93,70.0,91.0,3,No,No,Paid,Full,On Time,Low
1176,7,Semi-Urban,67,69,70,68.66666666666667,33,51,64.0,59.0,4,No,Yes,Paid,Full,On Time,Low
1177,8,Urban,91,92,87,90.0,25,74,83.0,87.0,6,Yes,Yes,Paid,Installment,On Time,Low
1178,6,Rural,69,67,72,69.33333333333333,18,98,71.0,91.0,3,Yes,Yes,Paid,Full,On Time,Low
1179,10,Rural,95,97,99,97.0,16,81,91.0,91.0,3,Yes,No,Paid,Installment,On Time,Low
1180,6,Urban,63,59,62,61.333333333333336,10,77,84.0,60.0,6,No,Yes,Paid,Full,Delayed,Low
1181,6,Semi-Urban,74,78,78,76.66666666666667,11,95,69.0,93.0,6,Yes,No,Paid,Full,Delayed,Low
1182,8,Semi-Urban,81,81,84,82.0,22,77,81.0,59.0,4,Yes,No,Pending,Full,On Time,Low
1183,6,Semi-Urban,86,82,83,83.66666666666667,19,72,90.0,65.0,3,No,Yes,Pending,Installment,Delayed,Low
1184,7,Rural,53,49,52,51.333333333333336,34,74,65.0,53.0,6,Yes,No,Pending,Installment,Delayed,Medium
1185,7,Semi-Urban,86,88,86,86.66666666666667,33,76,83.0,97.0,5,Yes,Yes,Paid,Full,On Time,Low
1186,9,Rural,74,69,77,73.33333333333333,24,79,71.0,61.0,3,Yes,Yes,Paid,Installment,On Time,Low
1187,10,Semi-Urban,78,79,76,77.66666666666667,22,71,99.0,64.0,6,Yes,Yes,Pending,Installment,Delayed,Low
1188,6,Urban,67,68,66,67.0,21,97,76.0,74.0,5,Yes,No,Paid,Installment,On Time,Low
1189,6,Urban,60,55,63,59.333333333333336,34,85,76.0,70.0,6,No,Yes,Pending,Installment,On Time,Medium
1190,8,Rural,94,94,90,92.66666666666669,22,69,90.0,99.0,7,Yes,No,Paid,Full,On Time,Low
1191,7,Rural,78,81,76,78.33333333333333,28,85,80.0,70.0,5,Yes,Yes,Paid,Installment,On Time,Low
1193,9,Urban,76,73,77,75.33333333333333,19,90,89.0,69.0,5,Yes,No,Paid,Installment,On Time,Low
1194,7,Semi-Urban,71,72,69,70.66666666666667,19,59,62.0,70.0,3,Yes,No,Paid,Installment,Delayed,Low
1195,9,Urban,73,75,71,73.0,22,88,61.0,94.0,6,Yes,Yes,Paid,Full,Delayed,Low
1196,8,Rural,77,81,78,78.66666666666667,23,94,77.0,68.0,6,Yes,Yes,Paid,Full,On Time,Low
1197,8,Urban,64,65,65,64.66666666666667,29,83,71.0,85.0,7,No,Yes,Paid,Installment,Delayed,Low
1198,6,Rural,75,71,77,74.33333333333333,18,90,78.0,92.0,4,Yes,No,Paid,Installment,On Time,Low
1199,10,Rural,95,90,92,92.33333333333331,17,71,94.0,92.0,4,Yes,Yes,Pending,Full,On Time,Low
1200,9,Semi-Urban,82,80,86,82.66666666666667,32,51,67.0,69.0,7,Yes,Yes,Pending,Full,Delayed,Low
1201,7,Semi-Urban,74,76,75,75.0,27,93,89.0,72.0,7,Yes,Yes,Paid,Installment,On Time,Low
1202,8,Semi-Urban,31,35,31,32.333333333333336,3,46,31.0,51.0,1,No,No,Overdue,Full,Delayed,High
1203,6,Semi-Urban,95,99,98,97.33333333333331,10,98,98.0,93.0,5,Yes,Yes,Paid,Full,On Time,Low
1204,6,Urban,80,79,77,78.66666666666667,26,83,71.0,98.0,3,Yes,No,Paid,Full,Delayed,Low
1205,9,Semi-Urban,82,77,78,79.0,16,64,95.0,70.0,3,Yes,No,Pending,Installment,On Time,Low
1206,8,Urban,64,60,67,63.66666666666666,14,65,97.0,50.0,6,Yes,No,Pending,Installment,On Time,Low
1207,10,Semi-Urban,90,88,92,90.0,22,63,96.0,83.0,4,Yes,Yes,Pending,Installment,On Time,Low
1208,8,Semi-Urban,95,97,93,95.0,28,68,90.0,93.0,3,Yes,Yes,Paid,Installment,On Time,Low
1210,9,Urban,52,47,49,49.333333333333336,3,37,58.0,20.0,1,No,No,Overdue,Full,On Time,High
1211,8,Rural,86,85,88,86.33333333333333,23,68,93.0,73.0,3,Yes,Yes,Paid,Installment,On Time,Low
1212,9,Semi-Urban,83,81,84,82.66666666666667,26,57,61.0,95.0,3,No,Yes,Pending,Full,On Time,Low
1213,8,Urban,80,80,83,81.0,20,89,97.0,94.0,4,Yes,No,Paid,Full,On Time,Low
1214,7,Semi-Urban,93,96,94,94.33333333333331,12,51,89.0,93.0,6,Yes,No,Pending,Installment,On Time,Low
1215,8,Rural,79,77,83,79.66666666666667,25,51,64.0,80.0,5,Yes,Yes,Paid,Full,Delayed,Low
1216,8,Urban,68,67,68,67.66666666666667,33,94,83.0,53.0,6,Yes,Yes,Paid,Installment,Delayed,Low
1217,9,Rural,57,57,59,57.66666666666666,21,96,64.0,54.0,7,Yes,Yes,Paid,Installment,On Time,Medium
1218,9,Semi-Urban,59,63,58,60.0,24,76,68.0,53.0,3,Yes,No,Pending,Installment,On Time,Low
1219,6,Semi-Urban,84,82,86,84.0,10,81,83.0,65.0,6,No,Yes,Pending,Full,On Time,Low
1220,6,Semi-Urban,95,97,92,94.66666666666669,26,85,79.0,94.0,4,Yes,Yes,Paid,Full,On Time,Low
1221,7,Urban,61,56,56,57.66666666666666,18,86,76.0,79.0,5,Yes,No,Pending,Installment,On Time,Medium
1222,6,Rural,81,85,77,81.0,23,99,87.0,67.0,6,Yes,Yes,Paid,Installment,On Time,Low
1223,8,Rural,89,86,86,87.0,28,54,95.0,83.0,3,No,Yes,Paid,Full,On Time,Low
1224,9,Semi-Urban,74,74,73,73.66666666666667,13,87,87.0,79.0,4,Yes,No,Paid,Installment,On Time,Low
1225,6,Rural,57,55,61,57.66666666666666,29,75,65.0,64.0,3,Yes,No,Paid,Installment,On Time,Medium
1226,6,Urban,67,68,68,67.66666666666667,11,85,76.0,84.0,5,No,No,Paid,Installment,On Time,Low
1227,7,Semi-Urban,51,54,53,52.66666666666666,33,95,62.0,70.0,5,Yes,No,Paid,Full,Delayed,Medium
1228,7,Semi-Urban,80,75,76,77.0,17,90,67.0,99.0,5,Yes,No,Pending,Full,Delayed,Low
1229,8,Semi-Urban,93,89,95,92.33333333333331,16,59,85.0,70.0,3,Yes,Yes,Pending,Full,Delayed,Low
1230,9,Urban,94,91,95,93.33333333333331,29,53,95.0,72.0,7,Yes,Yes,Pending,Full,On Time,Low
1231,7,Semi-Urban,95,99,95,96.33333333333331,14,86,91.0,75.0,7,Yes,Yes,Paid,Installment,On Time,Low
1232,6,Semi-Urban,20,23,23,22.0,8,11,34.0,34.0,2,Yes,Yes,Overdue,Full,On Time,High
1233,9,Semi-Urban,95,93,90,92.66666666666669,29,57,99.0,86.0,7,Yes,No,Pending,Installment,On Time,Low
1234,9,Semi-Urban,70,72,73,71.66666666666667,14,58,73.0,71.0,5,Yes,Yes,Paid,Full,On Time,Low
1235,6,Rural,80,76,81,79.0,10,99,89.0,87.0,7,No,No,Pending,Installment,Delayed,Low
1236,7,Semi-Urban,95,90,94,93.0,16,52,97.0,92.0,6,Yes,No,Paid,Full,Delayed,Low
1237,6,Urban,89,91,92,90.66666666666669,24,86,78.0,74.0,7,No,Yes,Paid,Full,Delayed,Low
1238,9,Semi-Urban,74,71,76,73.66666666666667,18,89,71.0,58.0,7,Yes,No,Paid,Full,Delayed,Low
1239,10,Semi-Urban,69,66,71,68.66666666666667,18,80,86.0,55.0,7,Yes,No,Paid,Installment,On Time,Low
1240,10,Rural,53,52,54,53.0,6,20,59.0,25.0,1,Yes,Yes,Overdue,Full,Delayed,High
1241,8,Semi-Urban,88,88,87,87.66666666666667,12,61,90.0,97.0,7,Yes,No,Paid,Full,Delayed,Low
